Date,Mkt-RF
20030423,0.89
20030424,-0.81
20030425,-1.3
20030428,1.76
20030429,0.34
20030430,0.03
20030501,-0.03
20030502,1.56
20030505,-0.19
20030506,0.8
20030507,-0.46
20030508,-0.99
20030509,1.39
20030512,1.25
20030513,-0.23
20030514,-0.23
20030515,0.74
20030516,-0.31
20030519,-2.3
20030520,-0.12
20030521,0.41
20030522,0.96
20030523,0.26
20030527,1.95
20030528,0.22
20030529,-0.26
20030530,1.53
20030602,0.39
20030603,0.39
20030604,1.56
20030605,0.55
20030606,-0.33
20030609,-1.31
20030610,0.95
20030611,1.29
20030612,0.18
20030613,-1.02
20030616,2.15
20030617,0.13
20030618,-0.15
20030619,-1.49
20030620,0.05
20030623,-1.52
20030624,0.19
20030625,-0.6
20030626,1.12
20030627,-0.84
20030630,-0.17
20030701,0.73
20030702,1.28
20030703,-0.72
20030707,1.91
20030708,0.51
20030709,-0.34
20030710,-1.33
20030711,0.92
20030714,0.73
20030715,-0.41
20030716,-0.64
20030717,-1.45
20030718,1.08
20030721,-1.42
20030722,0.97
20030723,0.18
20030724,-0.65
20030725,1.51
20030728,-0.02
20030729,-0.57
20030730,-0.18
20030731,0.32
20030801,-1.06
20030804,0.11
20030805,-1.71
20030806,0.02
20030807,0.57
20030808,0.33
20030811,0.43
20030812,1.09
20030813,-0.5
20030814,0.62
20030815,0.1
20030818,1.03
20030819,0.43
20030820,-0.14
20030821,0.47
20030822,-1.06
20030825,-0.04
20030826,0.29
20030827,0.17
20030828,0.7
20030829,0.53
20030902,1.4
20030903,0.42
20030904,0.22
20030905,-0.62
20030908,1.07
20030909,-0.79
20030910,-1.37
20030911,0.62
20030912,0.23
20030915,-0.35
20030916,1.4
20030917,-0.26
20030918,1.25
20030919,-0.23
20030922,-1.3
20030923,0.65
20030924,-1.88
20030925,-0.81
20030926,-0.84
20030929,0.98
20030930,-0.96
20031001,2.16
20031002,0.31
20031003,1.02
20031006,0.49
20031007,0.51
20031008,-0.48
20031009,0.55
20031010,-0.08
20031013,0.81
20031014,0.44
20031015,-0.36
20031016,0.35
20031017,-1.11
20031020,0.41
20031021,0.24
20031022,-1.52
20031023,0.22
20031024,-0.45
20031027,0.4
20031028,1.59
20031029,0.28
20031030,-0.11
20031031,0.28
20031103,0.93
20031104,-0.45
20031105,-0.04
20031106,0.58
20031107,-0.33
20031110,-0.74
20031111,-0.21
20031112,1.33
20031113,0.03
20031114,-0.83
20031117,-0.72
20031118,-0.87
20031119,0.76
20031120,-0.77
20031121,0.21
20031124,1.71
20031125,0.31
20031126,0.4
20031128,0.11
20031201,1.11
20031202,-0.27
20031203,-0.34
20031204,0.26
20031205,-0.79
20031208,0.65
20031209,-0.95
20031210,-0.29
20031211,1.34
20031212,0.31
20031215,-0.73
20031216,0.5
20031217,0.15
20031218,1.24
20031219,-0.04
20031222,0.36
20031223,0.36
20031224,-0.18
20031226,0.19
20031229,1.29
20031230,0.05
20031231,0.01
20040102,-0.17
20040105,1.2
20040106,0.2
20040107,0.34
20040108,0.45
20040109,-0.72
20040112,0.57
20040113,-0.51
20040114,0.8
20040115,0.15
20040116,0.72
20040120,0.15
20040121,0.64
20040122,-0.32
20040123,-0.14
20040126,1.12
20040127,-0.96
20040128,-1.44
20040129,0.25
20040130,-0.15
20040202,0.27
20040203,0
20040204,-0.97
20040205,0.23
20040206,1.39
20040209,-0.1
20040210,0.56
20040211,1.04
20040212,-0.46
20040213,-0.57
20040217,0.98
20040218,-0.39
20040219,-0.54
20040220,-0.3
20040223,-0.51
20040224,-0.14
20040225,0.54
20040226,0.29
20040227,0.11
20040301,1.02
20040302,-0.59
20040303,0.14
20040304,0.44
20040305,0.24
20040308,-0.84
20040309,-0.66
20040310,-1.5
20040311,-1.42
20040312,1.34
20040315,-1.56
20040316,0.43
20040317,1.22
20040318,-0.2
20040319,-1
20040322,-1.42
20040323,-0.09
20040324,-0.27
20040325,1.68
20040326,0
20040329,1.34
20040330,0.47
20040331,0
20040401,0.64
20040402,0.9
20040405,0.79
20040406,-0.28
20040407,-0.5
20040408,-0.14
20040412,0.5
20040413,-1.5
20040414,-0.21
20040415,-0.04
20040416,0.46
20040419,0.22
20040420,-1.48
20040421,0.6
20040422,1.44
20040423,-0.01
20040426,-0.33
20040427,0.13
20040428,-1.46
20040429,-0.86
20040430,-0.66
20040503,0.85
20040504,0.21
20040505,0.27
20040506,-0.8
20040507,-1.48
20040510,-1.29
20040511,0.95
20040512,0.12
20040513,-0.08
20040514,-0.17
20040517,-1.13
20040518,0.76
20040519,-0.19
20040520,0.02
20040521,0.44
20040524,0.29
20040525,1.66
20040526,0.29
20040527,0.51
20040528,0.02
20040601,0.14
20040602,0.31
20040603,-0.9
20040604,0.57
20040607,1.57
20040608,0.08
20040609,-1.04
20040610,0.36
20040614,-1.05
20040615,0.71
20040616,0.14
20040617,-0.14
20040618,0.19
20040621,-0.42
20040622,0.38
20040623,0.9
20040624,-0.23
20040625,-0.23
20040628,-0.25
20040629,0.31
20040630,0.48
20040701,-1.06
20040702,-0.28
20040706,-0.94
20040707,0.15
20040708,-0.96
20040709,0.31
20040712,0.04
20040713,0.09
20040714,-0.33
20040715,-0.32
20040716,-0.56
20040719,-0.12
20040720,0.83
20040721,-1.49
20040722,0.14
20040723,-1.03
20040726,-0.39
20040727,1.1
20040728,-0.09
20040729,0.66
20040730,0.14
20040802,0.36
20040803,-0.75
20040804,-0.2
20040805,-1.63
20040806,-1.59
20040809,0.02
20040810,1.39
20040811,-0.29
20040812,-1.18
20040813,0.1
20040816,1.4
20040817,0.3
20040818,1.34
20040819,-0.38
20040820,0.79
20040823,-0.32
20040824,0.03
20040825,0.84
20040826,-0.05
20040827,0.33
20040830,-0.86
20040831,0.48
20040901,0.3
20040902,1.09
20040903,-0.45
20040907,0.73
20040908,-0.48
20040909,0.34
20040910,0.53
20040913,0.3
20040914,0.19
20040915,-0.67
20040916,0.36
20040917,0.35
20040920,-0.51
20040921,0.66
20040922,-1.37
20040923,-0.37
20040924,0.14
20040927,-0.71
20040928,0.63
20040929,0.5
20040930,0.06
20041001,1.48
20041004,0.38
20041005,-0.11
20041006,0.69
20041007,-1.05
20041008,-0.8
20041011,0.23
20041012,-0.23
20041013,-0.75
20041014,-0.92
20041015,0.45
20041018,0.51
20041019,-0.92
20041020,0.11
20041021,0.37
20041022,-1
20041025,-0.03
20041026,1.36
20041027,1.39
20041028,0.13
20041029,0.18
20041101,0.06
20041102,-0.01
20041103,1.17
20041104,1.51
20041105,0.44
20041108,-0.13
20041109,0.05
20041110,-0.01
20041111,0.9
20041112,0.86
20041115,0.07
20041116,-0.66
20041117,0.64
20041118,0.05
20041119,-1.11
20041122,0.6
20041123,0.06
20041124,0.47
20041126,0.12
20041129,-0.21
20041130,-0.37
20041201,1.48
20041202,-0.07
20041203,0.04
20041206,-0.13
20041207,-1.16
20041208,0.46
20041209,0.44
20041210,-0.01
20041213,0.86
20041214,0.45
20041215,0.33
20041216,-0.28
20041217,-0.55
20041220,-0.13
20041221,0.92
20041222,0.39
20041223,0.09
20041227,-0.45
20041228,0.83
20041229,0.01
20041230,0.04
20041231,-0.14
20050103,-0.97
20050104,-1.3
20050105,-0.51
20050106,0.34
20050107,-0.22
20050110,0.42
20050111,-0.68
20050112,0.38
20050113,-0.77
20050114,0.66
20050118,0.97
20050119,-0.97
20050120,-0.77
20050121,-0.56
20050124,-0.49
20050125,0.34
20050126,0.62
20050127,0.08
20050128,-0.3
20050131,0.97
20050201,0.69
20050202,0.36
20050203,-0.27
20050204,1.12
20050207,-0.11
20050208,0.08
20050209,-1
20050210,0.35
20050211,0.77
20050214,0.09
20050215,0.28
20050216,0.07
20050217,-0.79
20050218,0.01
20050222,-1.47
20050223,0.53
20050224,0.83
20050225,0.97
20050228,-0.61
20050301,0.58
20050302,-0.01
20050303,-0.01
20050304,0.89
20050307,0.27
20050308,-0.54
20050309,-0.96
20050310,0.01
20050311,-0.55
20050314,0.61
20050315,-0.67
20050316,-0.84
20050317,0.19
20050318,-0.13
20050321,-0.38
20050322,-0.92
20050323,-0.12
20050324,0.01
20050328,0.15
20050329,-0.86
20050330,1.35
20050331,0
20050401,-0.64
20050404,0.29
20050405,0.4
20050406,0.22
20050407,0.57
20050408,-0.88
20050411,-0.09
20050412,0.56
20050413,-1.22
20050414,-1.1
20050415,-1.59
20050418,0.29
20050419,0.75
20050420,-1.35
20050421,1.87
20050422,-0.83
20050425,0.93
20050426,-0.88
20050427,0.3
20050428,-1.2
20050429,1.04
20050502,0.52
20050503,-0.04
20050504,1.28
20050505,-0.19
20050506,-0.03
20050509,0.61
20050510,-1.03
20050511,0.39
20050512,-1.02
20050513,-0.5
20050516,1.03
20050517,0.66
20050518,1.15
20050519,0.47
20050520,-0.13
20050523,0.43
20050524,0.05
20050525,-0.44
20050526,0.74
20050527,0.18
20050531,-0.49
20050601,0.9
20050602,0.24
20050603,-0.67
20050606,0.14
20050607,-0.03
20050608,-0.28
20050609,0.58
20050610,-0.21
20050613,0.28
20050614,0.31
20050615,0.22
20050616,0.46
20050617,0.36
20050620,-0.07
20050621,-0.18
20050622,0.05
20050623,-1.07
20050624,-0.72
20050627,-0.07
20050628,1.05
20050629,-0.07
20050630,-0.63
20050701,0.32
20050705,0.92
20050706,-0.73
20050707,0.26
20050708,1.21
20050711,0.69
20050712,0.2
20050713,0.02
